0075,正統カリフを認め、ムハンマドの言動に従うことを重視する、イスラム教最大の宗派は何でしょう？,スンナ派《スンニ派》
0076,ドレフュス事件に衝撃を受けて第1回シオニスト会議を主催し、シオニズム運動を創始した、オーストリアの新聞記者は誰でしょう？,テオドール・ヘルツル
0077,つぶして団子型にしたお米を串にさして焼き、醤油味や味噌味のタレにつけて食べる、長野県や岐阜県に伝わる郷土料理は何でしょう？,五平餅
0078,代表作に『はてしない物語』『モモ』などがあるドイツの小説家は誰でしょう？,ミヒャエル・エンデ
0079,阪田寛夫作詞の童謡『サッちゃん』で、サッちゃんが好きだけど半分しか食べられない果物は何でしょう？,バナナ
0080,国名には「ライオンの町」という意味がある、インドシナ半島の南の端にある小さな国はどこでしょう？,シンガポール
0081,コンピューターのソフトやプログラムなどで起こるエラーや欠陥のことを、英語で「虫」という意味の言葉から何というでしょう？,バグ
0082,銅との合金は青銅となり、鉄にメッキするとブリキとなる金属は何でしょう？,スズ
0083,虹の色を7色に決めたとされる、リンゴが落ちるのを見て万有引力を発見したといわれるイギリスの科学者は誰でしょう？,アイザック・ニュートン
0084,欠乏すると壊血病を引き起こす、新鮮な野菜や果物に多く含まれる水溶性ビタミンは何でしょう？,ビタミンC
0085,著書『法の精神』で権力を立法・行政・司法の3つに分ける三権分立論を唱えた、フランスの思想家は誰でしょう？,シャルル・ド・モンテスキュー
0086,創始者である治右衛門(じえもん)の苗字からこう呼ばれる、別名を「力文字」という、相撲の番付表などを書く際に用いられる書体は何？,根岸流
0087,統計学における代表値で、日本語で｢最頻値｣と訳されるのはモードですが、｢中央値｣と訳される値は何でしょう？,メジアン
0088,花火の中でも、複数の花火玉を組み合わせ、連続して打ち上げるもののことを何というでしょう？,スターマイン
0089,南米大陸とフエゴ島の間にある「海峡」に名を残す、彼の率いた船団が史上初めて世界一周を成し遂げたことで知られる、ポルトガルの航海者は誰でしょう？,フェルディナンド・マゼラン
0090,その形状によって単冠、バラ冠、クルミ冠などに分類される、オスのニワトリによくみられる頭の突起を何というでしょう？,鶏冠(とさか)
0091,水泳のときなどに足をつることを｢こむら返り｣といいますが、この｢こむら｣とは体のどの部分のことでしょう？,ふくらはぎ
0092,地球の自転と原子時計の間の時間のずれを調整するため、日本ではある年の１月か７月に１秒だけ挿入される時間のことを何というでしょう？,うるう秒
0093,女性ホルモンによく似た構造を持つ、大豆などの豆類に多く含まれる植物性ポリフェノールは何でしょう？,イソフラボン
0094,ことわざで、｢大成する人は幼い頃から並外れて優れている｣ということを、｢何は双葉より芳し｣というでしょう？,栴檀せんだん
0095,日本語では｢共同運航便｣という、１つの定期便のチケットを複数の航空会社が販売する形態のことを何というでしょう？,コードシェア便
0096,天守閣の前に植えられた木から別名を銀杏城(ぎんなんじょう)という、加藤清正によって築かれた九州地方のお城は何でしょう？,熊本城
0097,1467年に起った応仁の乱で、東軍の総大将は細川勝元ですが、西軍の総大将は誰でしょう？,山名宗全
0098,雑誌編集者のカルロ・ペトリ一二が提唱し、イタリアから世界へと広まった、伝統的な食文化を見直そうとする社会運動は何でしょう？,スローフード〈運動〉
0099,｢一つの妖怪がヨーロッパにあらわれている｣という書き出しで始まる、1848年にマルクスとエンゲルスが発表した著作は何でしょう？,『共産党宣言』
0100,気象庁の定義で、｢最大風速が54m/s以上の台風｣と｢1時間に80mm以上降る雨｣を表現する際に共通して用いられる言葉は何でしょう？,猛烈な
